
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
98:FC:11:D0:A8:2E, 2022-07-21 17:26:55, 2022-07-21 19:36:34,  6,  54, WEP, WEP, OPN, -38,     8181,    41438,   0.  0.  0.  0,   7, linksys, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F4:F5:A5:5F:27:36, 2022-07-21 18:09:33, 2022-07-21 19:35:26, -65,       91, 98:77:E7:7B:85:B6,
18:A6:F7:CD:03:9C, 2022-07-21 17:29:09, 2022-07-21 19:35:30, -71,      204, E8:89:2C:C7:00:A0,Net Carlos
E2:E7:33:B1:54:CB, 2022-07-21 19:35:04, 2022-07-21 19:35:04, -49,        1, (not associated) ,
A2:1A:10:DF:87:70, 2022-07-21 19:34:42, 2022-07-21 19:34:42, -69,        2, (not associated) ,
92:68:21:6F:5A:D1, 2022-07-21 17:43:12, 2022-07-21 19:34:13,  -1,       46, C8:5D:38:5F:C2:D8,
0C:EC:8D:3C:E9:BE, 2022-07-21 19:12:27, 2022-07-21 19:34:13, -61,       58, 10:C2:5A:3C:9D:FD,
74:E6:B8:45:34:48, 2022-07-21 18:24:58, 2022-07-21 19:34:13, -71,        8, E8:DE:27:CE:FE:02,
52:A0:76:9B:6B:F6, 2022-07-21 19:34:01, 2022-07-21 19:34:01, -57,        1, (not associated) ,
5C:CD:5B:E9:28:11, 2022-07-21 17:52:49, 2022-07-21 19:34:03, -63,       21, D4:2C:0F:55:39:59,GONZALEZ
78:DD:12:77:6F:9A, 2022-07-21 18:37:38, 2022-07-21 19:33:16,  -1,       67, 48:4B:D4:7C:22:28,
FE:E3:2C:FC:D3:C3, 2022-07-21 19:32:51, 2022-07-21 19:32:51, -53,        2, (not associated) ,
20:50:E7:0C:B2:34, 2022-07-21 17:57:12, 2022-07-21 19:32:26, -75,       17, 8C:44:4F:6D:27:B8,
D0:37:45:6B:2E:DC, 2022-07-21 17:33:37, 2022-07-21 19:32:18, -71,      626, 68:02:B8:DC:99:9A,Antônio_2G
FA:44:12:18:B5:63, 2022-07-21 17:34:46, 2022-07-21 19:32:16, -87,       10, 5C:7D:7D:62:BB:D0,
DA:0E:3B:E5:5B:92, 2022-07-21 17:27:38, 2022-07-21 19:32:03, -65,       32, 4C:12:65:E2:FD:0F,
8C:79:F5:56:B2:1C, 2022-07-21 17:31:23, 2022-07-21 19:32:03, -65,       42, 4C:12:65:E2:FD:0F,
D8:77:8B:F2:F0:5C, 2022-07-21 17:33:47, 2022-07-21 19:32:04, -75,       23, 48:4B:D4:A1:02:38,
16:B3:7E:5E:09:34, 2022-07-21 19:32:05, 2022-07-21 19:32:05, -86,        1, (not associated) ,
