
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0E:80:62:7B:ED:1A, 2022-07-21 16:50:34, 2022-07-21 16:52:05, -53,        5, C8:5D:38:05:78:A6,
0E:80:62:19:23:F4, 2022-07-21 16:48:36, 2022-07-21 16:52:05, -53,        5, C8:5D:38:05:78:A6,
7E:6F:65:AD:95:C7, 2022-07-21 16:51:41, 2022-07-21 16:51:41, -67,        1, (not associated) ,
14:32:D1:19:23:F4, 2022-07-21 16:50:12, 2022-07-21 16:51:43, -91,        3, 0C:80:63:7B:ED:1B,
EC:0D:E4:F9:6A:AB, 2022-07-21 16:51:18, 2022-07-21 16:51:19, -55,        2, 04:D4:C4:1C:B6:58,
48:51:CF:A7:9D:85, 2022-07-21 16:50:57, 2022-07-21 16:50:57,  -1,        1, 48:4B:D4:A1:02:38,
50:76:AF:2E:62:CE, 2022-07-21 16:48:29, 2022-07-21 16:50:56,  -1,        7, E4:C3:2A:68:E8:68,
0A:38:65:F9:F6:AD, 2022-07-21 16:49:26, 2022-07-21 16:50:57, -53,        4, (not associated) ,
B2:71:B9:A8:33:A5, 2022-07-21 16:50:33, 2022-07-21 16:50:34, -61,        3, (not associated) ,
48:51:CF:A7:9C:21, 2022-07-21 16:50:34, 2022-07-21 16:50:34, -63,        2, 48:4B:D4:A1:02:38,
44:D2:44:47:8B:72, 2022-07-21 16:50:05, 2022-07-21 16:50:05,  -1,        1, B0:6E:BF:79:A7:B8,
D0:37:45:6B:2E:DC, 2022-07-21 16:50:09, 2022-07-21 16:50:09, -69,        1, (not associated) ,Antônio_2G
3E:79:E9:07:C2:25, 2022-07-21 16:49:52, 2022-07-21 16:49:53, -63,        8, (not associated) ,
4E:29:7C:8E:7D:05, 2022-07-21 16:49:42, 2022-07-21 16:49:43, -53,       10, (not associated) ,VIVO,vivo
3A:F9:F2:5E:43:04, 2022-07-21 16:49:43, 2022-07-21 16:49:43, -61,        3, (not associated) ,
F2:72:88:ED:C8:E5, 2022-07-21 16:49:21, 2022-07-21 16:49:22, -67,        5, (not associated) ,
02:D3:01:CB:83:2E, 2022-07-21 16:48:22, 2022-07-21 16:48:22, -67,        2, (not associated) ,
0A:5F:8F:B7:37:82, 2022-07-21 16:48:18, 2022-07-21 16:48:18, -67,        1, (not associated) ,
46:C6:DE:3F:FD:AA, 2022-07-21 16:48:35, 2022-07-21 16:48:35, -71,        1, (not associated) ,
E2:81:54:E8:65:22, 2022-07-21 16:49:02, 2022-07-21 16:49:02, -61,        2, (not associated) ,Iolanda2G
4E:29:7C:23:85:99, 2022-07-21 16:50:02, 2022-07-21 16:50:02, -53,        9, (not associated) ,vivo,VIVO
8C:79:F5:56:B2:1C, 2022-07-21 16:50:56, 2022-07-21 16:52:03, -69,        6, 4C:12:65:E2:FD:0F,
