LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2022-08-07 18:11:27,1900-01-00 00:00:00,,40:EE:DD:39:C7:E8,-29, ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:27,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-35, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:27,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-29, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:27,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-35, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:27,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-35, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-61,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-61,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-61,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-61,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-61,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-37, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-63,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-63,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-63,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-35, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-63,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-63,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-29, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-63,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-63,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:28,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-35, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:29,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:29,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:29,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:29,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:29,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-59,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:29,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-57,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:29,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-31, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:29,1900-01-00 00:00:00,,A2:22:18:4C:59:4B,-57,,0.000000,0.000000,0.000,0.000,Client
2022-08-07 18:11:29,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-29, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2022-08-07 18:11:29,1900-01-00 00:00:00,baby yoda comunista,40:EE:DD:39:C7:E8,-33, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
